Topic,Book Count
hip-hop,6966
historical,4510237
historical-costume,1005
historical-fantasy,321864
historical-fiction,8631710
historical-mystery,341179
historical-romance,2034467
historical-romance-clean,1889
historical-sewing,345
history,8354766
history-civil-war-eastern-theater,484
history-of-medicine,11514
history-of-science,62670
hoaxes,1681
hockey,185084
holland,15553
holocaust,205629
holocaust-denial,735
home-economics,5411
homeopathy,3395
horoscopes,765
horror,5454787
horse-racing,7274
horses,119932
horticulture,13137
hot-air-balloons,1613
house-building,896
how-to,223082
hqn,56771
huguenots,1022
human-capital,1511
human-development,33839
human-ecology,4067
human-resources,12221
humanities,237258
humor,2655167
humorism,1866
hungarian-literature,13149
hungary,32688
hydrogeology,52
ice-age,1640
illness,160385
income-tax,133
india,328202
indian-literature,45816
indigenous-history,6955
indonesian-literature,12478
informatics,5408
information-science,10772
informed-consent,526
innumeracy,596
intelligent-design,2703
intensive-care,6
international,589945
international-development,18169
international-literature,89397
international-relations,90252
internet,77920
interracial-romance,73267
intersex,3189
iran,65257
ireland,255839
irish-civil-war,742
irish-literature,67274
islam,251092
islamic-terrorism,1145
islamism,5006
israel,85399
italian-literature,89771
italy,339189
ivory-coast,1126
japan,542447
japanese-history,16313
japanese-literature,184441
jaws,1816
jazz,33751
jewellery-making,624
jewish,243609
johannesburg,866
jokes,6577
josei,54245
journal,89732
journaling,11342
journalism,244508
judaica,59285
judaism,142957
junk-science,851
juvenile,747390
kazakhstan,2990
kenya,16737
khartoum,452
kigali,452
kinshasa,42
knitting,90086
komik,68511
ku-klux-klan,1383
labor,42922
lais,2012
landscape-architecture,6591
landscaping,2032
language,492557
latin-american,90460
latin-american-history,16328
latin-american-literature,56768
law,290771
lds,67697
lds-fiction,26210
lds-non-fiction,6953
leadership,512931
lebanon,22801
led-zeppelin,658
legal-ethics,643
legal-thriller,73563
lenin,3204
leningrad,1490
lesbian,239161
lesbian-fiction,44212
lesbian-romance,50339
lesbotronic,508
lesotho,1741
lgbt-memoir,659
liberia,8510
librarianship,19999
library-science,23967
libya,6355
lie,2996
light-novel,170229
linguistics,198633
literary-criticism,206719
literary-fiction,1752332
literature,2823199
local-history,20744
loch-ness-monster,902
logic,65286
london-underground,1897
love-inspired,49239
love-inspired-historical,8076
love-inspired-suspense,18770
love-story,549824
lovecraftian,48131
loveswept,8796
low-fantasy,235921
lusaka,444
luxemburg,761
m-f-f,2353
m-f-m,36400
m-f-romance,163382
m-m-aliens,898
m-m-contemporary,56029
m-m-f,27806
m-m-fantasy,20119
m-m-futuristic,924
m-m-historical-romance,2332
m-m-horror,686
m-m-m,32177
m-m-m-f,3140
m-m-m-m,2998
m-m-mystery,6124
m-m-new-adult,498
m-m-office-romance,143
m-m-paranormal,50181
m-m-romance,555555
m-m-romantic-suspense,1848
m-m-science-fiction,4067
m-m-shapeshifters,1324
m-m-sports-romance,2180
m-m-supernatural,5332
m-m-urban-fantasy,5953
m-m-young-adult,667
madagascar,3317
magic,2166026
magical-realism,885553
magick,117015
